underlying,subset,excluded_strikes,n_excluded,n,mean_delta,std_delta,t_stat,p_value,ci_lo_95,ci_hi_95,reject_H0
GC,all_strikes,,0,1121,-0.10265187270556386,0.1120912268615652,-30.66182922073085,2.1189918587162642e-150,-0.10922067947900262,-0.09608306593212511,True
GC,excl_extreme_otm,"$7000, $8000",192,929,-0.10854141514252183,0.11522161069227661,-28.712393317187377,3.0028385317947377e-130,-0.11596033997991635,-0.10112249030512731,True
SI,all_strikes,,0,1196,-0.06439545824211615,0.09125448320549859,-24.404314767834023,4.638790825948554e-107,-0.06957244202788594,-0.05921847445634635,True
SI,excl_extreme_otm,"$120, $140",199,997,-0.06755596978354693,0.09068784261924742,-23.52134984137407,1.1956868129055457e-97,-0.07319205638992479,-0.061919883177169066,True
