underlying,n,hac_maxlags,mean_delta,plain_t_stat,plain_p_value,hac_t_stat,hac_p_value,reject_H0_plain,reject_H0_hac
GC,1326,5,-0.08941928335684565,-29.453691193875247,4.3102461589904444e-147,-15.892889582629476,3.4264720385126694e-52,True,True
GC,1326,10,-0.08941928335684565,-29.453691193875247,4.3102461589904444e-147,-12.286095491217234,6.186733839176142e-33,True,True
GC,1326,20,-0.08941928335684565,-29.453691193875247,4.3102461589904444e-147,-9.33015986811517,4.294385453121072e-20,True,True
SI,1345,5,-0.05285180103519509,-20.652183619116734,1.61244055697579e-82,-13.941313505200034,2.322663308960871e-41,True,True
SI,1345,10,-0.05285180103519509,-20.652183619116734,1.61244055697579e-82,-11.382072455097548,1.0118951162217613e-28,True,True
SI,1345,20,-0.05285180103519509,-20.652183619116734,1.61244055697579e-82,-9.197781178895719,1.3519827015499845e-19,True,True
