Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-30,4.9,5,4.6,5,0.4,+8.70%,83,2634
2026-06-29,5.1,5.1,4.4,4.6,-2.8,-37.84%,404,2638
2026-06-26,7.4,8.2,6.6,7.4,0,0.00%,940,2419
2026-06-25,6.4,7.8,6.4,7.4,0.4,+5.71%,390,2595
2026-06-24,8.3,8.7,7,7,-3.3,-32.04%,487,2576
2026-06-23,14.4,14.4,10,10.3,-4.2,-28.97%,972,2668
2026-06-22,18.6,18.6,14.2,14.5,-8.1,-35.84%,870,2457
2026-06-18,34.9,36.8,21.6,22.6,-24.3,-51.81%,907,2116
2026-06-17,42.1,52.8,27.5,46.9,5.9,+14.39%,1144,2230
2026-06-16,43.5,46.1,38.8,41,-6.,-12.77%,753,1990
2026-06-15,42.5,54,40,47,16.5,+54.10%,727,1518
2026-06-12,37.3,37.3,27,30.5,11.6,+61.38%,327,1233
2026-06-11,21,25.5,18.3,18.9,-5.2,-21.58%,1355,1361
2026-06-10,31,31,21.8,24.1,-16.7,-40.93%,449,1425
2026-06-09,55.7,55.7,38,40.8,-16.6,-28.92%,711,1348
2026-06-08,60.5,60.5,57.4,57.4,-0.9,-1.54%,809,1057
2026-06-05,71,71,56.2,58.3,-41.6,-41.64%,665,866
2026-06-04,103.8,116.8,99.6,99.9,10.1,+11.25%,246,576
2026-06-03,107,107,88.9,89.8,-22.5,-20.04%,141,538
2026-06-02,123,133,112.3,112.3,-1.1,-0.97%,127,631
2026-06-01,131,132.5,107.8,113.4,-41.8,-26.93%,50,609
2026-05-29,130,175,130,155.2,28.9,+22.88%,217,602
2026-05-28,84,126.3,78,126.3,24.1,+23.58%,103,462
2026-05-27,123,124.5,98.2,102.2,-25.4,-19.91%,122,448
2026-05-26,156.6,164.6,120.1,127.6,-15.,-10.52%,21,387
2026-05-22,149.4,150,132,142.6,-16.4,-10.31%,103,387
2026-05-21,163.2,166.2,140,159,-0.4,-0.25%,23,359
2026-05-20,140,168.5,137.7,159.4,4.5,+2.91%,42,356
2026-05-19,192.8,192.8,150,154.9,-24.5,-13.66%,78,337
2026-05-18,165,192,157.6,179.4,-5.8,-3.13%,84,329
2026-05-15,215,215,170,185.2,-70.5,-27.57%,68,289
2026-05-14,255.7,255.7,255.7,255.7,-19.5,-7.09%,0,281
2026-05-13,275.2,275.2,275.2,275.2,8.8,+3.30%,0,281
2026-05-12,265,286,265,266.4,-28.2,-9.57%,2,281
2026-05-11,290.5,294.6,290.5,294.6,-3.5,-1.17%,1,281
2026-05-08,300,300,298.1,298.1,11.5,+4.01%,5,280
2026-05-07,285,290,285,286.6,14.8,+5.45%,45,280
2026-05-06,290,290,271.8,271.8,70.6,+35.09%,14,300
2026-05-05,202,202.1,199.4,201.2,13.6,+7.25%,22,305
2026-05-04,200,209.4,187,187.6,-60.4,-24.35%,47,284
