Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-08,6.733,6.733,6.733,6.733,-0.199,-2.87%,0,2
2026-06-05,6.932,6.932,6.932,6.932,-3.666,-34.59%,0,2
2026-06-04,10.598,10.598,10.598,10.598,0.066,+0.63%,0,2
2026-06-03,10.532,10.532,10.532,10.532,-1.639,-13.47%,0,2
2026-06-02,12.171,12.171,12.171,12.171,0.135,+1.12%,0,2
2026-06-01,12.036,12.036,12.036,12.036,-0.557,-4.42%,0,2
2026-05-29,12.593,12.593,12.593,12.593,-0.126,-0.99%,0,2
2026-05-28,12.719,12.719,12.719,12.719,0.825,+6.94%,0,2
2026-05-27,11.894,11.894,11.894,11.894,-1.561,-11.60%,0,2
2026-05-26,13.455,13.455,13.455,13.455,0.19,+1.43%,0,2
2026-05-22,13.265,13.265,13.265,13.265,-0.573,-4.14%,0,2
2026-05-21,13.838,13.838,13.838,13.838,0.395,+2.94%,0,2
2026-05-20,13.443,13.443,13.443,13.443,0.642,+5.02%,0,2
2026-05-19,12.801,12.801,12.801,12.801,-2.049,-13.80%,0,2
2026-05-18,14.85,14.85,14.85,14.85,-0.222,-1.47%,0,2
2026-05-15,15.072,15.072,15.072,15.072,-6.855,-31.26%,0,2
2026-05-14,21.927,21.927,21.927,21.927,-4.05,-15.59%,0,2
2026-05-13,25.977,25.977,25.977,25.977,3.683,+16.52%,0,2
2026-05-12,23.8,23.8,22.294,22.294,-0.479,-2.10%,2,2
2026-05-11,22.773,22.773,22.773,22.773,4.95,+27.77%,0,2
2026-05-08,17.823,17.823,17.823,17.823,0.633,+3.68%,0,2
2026-05-07,17.19,17.19,17.19,17.19,2.61,+17.90%,0,2
2026-05-06,14.58,14.58,14.58,14.58,3.122,+27.25%,0,2
2026-05-05,11.458,11.458,11.458,11.458,-0.097,-0.84%,0,2
2026-05-04,11.555,11.555,11.555,11.555,-2.288,-16.53%,0,2
2026-05-01,13.843,13.843,13.843,13.843,1.921,+16.11%,0,2
2026-04-30,11.922,11.922,11.922,11.922,1.47,+14.06%,0,2
2026-04-29,10.452,10.452,10.452,10.452,-1.433,-12.06%,0,2
2026-04-28,11.885,11.885,11.885,11.885,-1.525,-11.37%,0,2
2026-04-27,13.41,13.41,13.41,13.41,-1.377,-9.31%,0,2
2026-04-24,14.787,14.787,14.787,14.787,0.593,+4.18%,0,2
2026-04-23,14.194,14.194,14.194,14.194,-1.994,-12.32%,0,2
2026-04-22,16.188,16.188,16.188,16.188,1.106,+7.33%,0,2
2026-04-21,15.082,15.082,15.082,15.082,-3.054,-16.84%,0,2
2026-04-20,18.136,18.136,18.136,18.136,-1.712,-8.63%,0,2
2026-04-17,19.848,19.848,19.848,19.848,2.694,+15.70%,0,2
2026-04-16,17.154,17.154,17.154,17.154,-1.123,-6.14%,0,2
2026-04-15,18.277,18.277,18.277,18.277,0.007,+0.04%,0,2
2026-04-14,18.27,18.27,18.27,18.27,3.201,+21.24%,0,2
2026-04-13,15.069,15.069,15.069,15.069,-0.961,-6.00%,0,2
2026-04-10,16.03,16.03,16.03,16.03,-0.05,-0.31%,0,2
2026-04-09,16.08,16.08,16.08,16.08,0.469,+3.00%,0,2
2026-04-08,15.611,15.611,15.611,15.611,2.121,+15.72%,0,2
2026-04-07,13.49,13.49,13.49,13.49,-0.408,-2.94%,0,2
2026-04-06,13.895,13.898,13.895,13.898,-0.404,-2.82%,0,2
2026-04-02,14.302,14.302,14.302,14.302,-2.475,-14.75%,0,2
2026-04-01,16.777,16.777,16.777,16.777,0.507,+3.12%,0,2
2026-03-31,16.27,16.27,16.27,16.27,2.925,+21.92%,0,2
2026-03-30,13.345,13.345,13.345,13.345,0.308,+2.36%,0,2
2026-03-27,13.037,13.037,13.037,13.037,1.73,+15.30%,0,2
2026-03-26,11.307,11.307,11.307,11.307,-2.932,-20.59%,0,2
2026-03-25,14.239,14.239,14.239,14.239,1.859,+15.02%,0,2
2026-03-24,12.38,12.38,12.38,12.38,0.233,+1.92%,0,2
2026-03-23,8.5,12.147,8.5,12.147,0.196,+1.64%,2,2
2026-03-20,11.951,11.951,11.951,11.951,-1.192,-9.07%,0,2
2026-03-19,13.143,13.143,13.143,13.143,-4.479,-25.42%,0,2
2026-03-18,17.622,17.622,17.622,17.622,-2.106,-10.68%,0,2
2026-03-17,19.728,19.728,19.728,19.728,-1.094,-5.25%,0,2
2026-03-16,20.822,20.822,20.822,20.822,-0.623,-2.91%,0,2
2026-03-13,21.445,21.445,21.445,21.445,-3.089,-12.59%,0,2
2026-03-12,24.534,24.534,24.534,24.534,-0.391,-1.57%,0,2
2026-03-11,24.925,24.925,24.925,24.925,-3.974,-13.75%,0,2
2026-03-10,28.899,28.899,28.899,28.899,4.741,+19.62%,0,2
2026-03-09,24.158,24.158,24.158,24.158,-0.229,-0.94%,0,2
2026-03-06,24.387,24.387,24.387,24.387,1.81,+8.02%,0,2
2026-03-05,22.577,22.577,22.577,22.577,-1.29,-5.40%,0,2
2026-03-04,23.867,23.867,23.867,23.867,-0.282,-1.17%,0,2
2026-03-03,24.149,24.149,24.149,24.149,-4.622,-16.06%,0,2
2026-03-02,28.771,28.771,28.771,28.771,-4.325,-13.07%,0,2
2026-02-27,33.096,33.096,33.096,33.096,5.254,+18.87%,0,2
2026-02-26,27.842,27.842,27.842,27.842,-3.794,-11.99%,0,2
2026-02-25,31.636,31.636,31.636,31.636,2.412,+8.25%,0,2
2026-02-24,29.224,29.224,29.224,29.224,0.538,+1.88%,0,2
2026-02-23,28.686,28.686,28.686,28.686,4.841,+20.30%,0,2
2026-02-20,23.845,23.845,23.845,23.845,4.841,+25.47%,0,2
2026-02-19,19.004,19.004,19.004,19.004,0.271,+1.45%,0,2
2026-02-18,18.733,18.733,18.733,18.733,3.152,+20.23%,0,2
2026-02-17,15.581,15.581,15.581,15.581,-3.193,-17.01%,0,2
2026-02-13,18.774,18.774,18.774,18.774,1.056,+5.96%,0,2
