Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-30,0.751,0.802,0.75,0.802,0.142,+21.52%,7,655
2026-06-29,0.782,0.819,0.66,0.66,-0.218,-24.83%,9,657
2026-06-26,0.676,0.884,0.676,0.878,0.078,+9.75%,216,657
2026-06-25,0.7,0.808,0.68,0.8,0.098,+13.96%,248,495
2026-06-24,0.88,0.88,0.702,0.702,-0.416,-37.21%,31,321
2026-06-23,1.4,1.4,1.115,1.118,-0.746,-40.02%,116,324
2026-06-22,2.05,2.29,1.753,1.864,-0.42,-18.39%,36,266
2026-06-18,2.742,2.742,2.17,2.284,-1.652,-41.97%,102,246
2026-06-17,3.94,3.99,3.74,3.936,0.383,+10.78%,117,288
2026-06-16,3.75,4.13,3.51,3.553,-0.258,-6.77%,32,297
2026-06-15,4,4.435,3.811,3.811,0.409,+12.02%,111,270
2026-06-12,3.508,3.566,3.402,3.402,1.053,+44.83%,127,258
2026-06-11,2.195,2.4,2.14,2.349,-0.219,-8.53%,64,143
2026-06-10,2.3,2.721,2.3,2.568,-0.005,-0.19%,49,91
2026-06-09,3.33,3.33,2.5,2.573,-0.928,-26.51%,8,44
2026-06-08,3.497,3.501,3.497,3.501,-0.233,-6.24%,15,41
2026-06-05,5,5.2,3.734,3.734,-1.992,-34.79%,6,26
2026-06-04,6,6,5.726,5.726,-0.191,-3.23%,2,28
2026-06-03,5.917,5.917,5.917,5.917,-1.059,-15.18%,0,26
2026-06-02,6.976,6.976,6.976,6.976,0.057,+0.82%,0,26
2026-06-01,6.346,6.919,6.346,6.919,-0.518,-6.97%,1,26
2026-05-29,7.437,7.437,7.437,7.437,-0.067,-0.89%,0,27
2026-05-28,7.504,7.504,7.504,7.504,0.509,+7.28%,2,27
2026-05-27,6.995,6.995,6.995,6.995,-1.245,-15.11%,25,26
2026-05-26,8.009,8.24,8.009,8.24,0.143,+1.77%,0,3
2026-05-22,8.097,8.097,8.097,8.097,-0.365,-4.31%,0,3
2026-05-21,8.462,8.462,8.462,8.462,0.251,+3.06%,2,3
2026-05-20,8.211,8.211,8.211,8.211,-0.003,-0.04%,0,3
2026-05-19,8,8.214,7.6,8.214,-1.56,-15.96%,2,3
2026-05-18,9.774,9.774,9.774,9.774,-0.299,-2.97%,2,3
2026-05-15,10.1,10.1,10.073,10.073,-5.28,-34.39%,2,3
2026-05-14,15.353,15.353,15.353,15.353,-3.708,-19.45%,0,4
2026-05-13,19.061,19.061,19.061,19.061,3.296,+20.91%,0,4
2026-05-12,15.765,15.765,15.765,15.765,-0.429,-2.65%,0,4
2026-05-11,16.194,16.194,16.194,16.194,4.341,+36.62%,0,4
2026-05-08,11.853,11.853,11.853,11.853,0.418,+3.66%,0,4
2026-05-07,11.435,11.435,11.435,11.435,2.228,+24.20%,0,4
2026-05-06,9.207,9.207,9.207,9.207,2.179,+31.00%,0,4
2026-05-05,7.028,7.028,7.028,7.028,-0.099,-1.39%,0,4
2026-05-04,7.127,7.127,7.127,7.127,-1.542,-17.79%,0,4
2026-05-01,8.4,8.669,8.4,8.669,1.375,+18.85%,1,4
2026-04-30,7.1,7.294,7.1,7.294,1,+15.89%,1,3
2026-04-29,6.294,6.294,6.294,6.294,-0.96,-13.23%,2,4
2026-04-28,7.254,7.254,7.254,7.254,-1.355,-15.74%,0,2
2026-04-27,8.5,8.7,8.5,8.609,-1.107,-11.39%,2,2
2026-04-24,9.716,9.716,9.716,9.716,0.265,+2.80%,0,1
2026-04-23,9.451,9.451,9.451,9.451,-1.399,-12.89%,0,1
2026-04-22,10.85,10.85,10.85,10.85,0.784,+7.79%,0,1
2026-04-21,10.066,10.066,10.066,10.066,-2.451,-19.58%,0,1
2026-04-20,12.517,12.517,12.517,12.517,-1.428,-10.24%,0,1
2026-04-17,13.945,13.945,13.945,13.945,1.998,+16.72%,0,1
2026-04-16,11.947,11.947,11.947,11.947,-0.956,-7.41%,0,1
2026-04-15,12.903,12.903,12.903,12.903,0.084,+0.66%,0,1
2026-04-14,12.819,12.819,12.819,12.819,2.506,+24.30%,0,1
2026-04-13,10.313,10.313,10.313,10.313,-0.897,-8.00%,0,1
2026-04-10,11.21,11.21,11.21,11.21,-0.022,-0.20%,0,1
2026-04-09,11.232,11.232,11.232,11.232,0.053,+0.47%,0,1
2026-04-08,11.179,11.179,11.179,11.179,1.473,+15.18%,0,1
2026-04-07,9.706,9.706,9.706,9.706,-0.241,-2.42%,0,1
2026-04-06,9.947,9.947,9.947,9.947,-0.61,-5.78%,0,1
2026-04-02,10.557,10.557,10.557,10.557,-1.816,-14.68%,0,1
2026-04-01,12.373,12.373,12.373,12.373,0.548,+4.63%,0,1
2026-03-31,11.825,11.825,11.825,11.825,1.908,+19.24%,1,1
2026-03-30,9.917,9.917,9.917,9.917,0.153,+1.57%,0,1
2026-03-27,9.764,9.764,9.764,9.764,1.371,+16.34%,0,1
2026-03-26,8.393,8.393,8.393,8.393,-2.081,-19.87%,0,1
2026-03-25,10.474,10.474,10.474,10.474,1.34,+14.67%,0,1
2026-03-24,9.134,9.134,9.134,9.134,0.138,+1.53%,0,1
2026-03-23,8.996,8.996,8.996,8.996,0.357,+4.13%,0,1
2026-03-20,8.639,8.639,8.639,8.639,-0.877,-9.22%,0,1
2026-03-19,9.516,9.516,9.516,9.516,-3.357,-26.08%,1,1
2026-03-18,12.873,12.873,12.873,12.873,-1.85,-12.57%,0,0
2026-03-17,14.723,14.723,14.723,14.723,-0.942,-6.01%,0,0
2026-03-16,15.665,15.665,15.665,15.665,-0.681,-4.17%,0,0
2026-03-13,16.346,16.346,16.346,16.346,-2.925,-15.18%,0,0
2026-03-12,19.271,19.271,19.271,19.271,-0.326,-1.66%,0,0
2026-03-11,19.597,19.597,19.597,19.597,-3.728,-15.98%,0,0
2026-03-10,23.325,23.325,23.325,23.325,4.291,+22.54%,0,0
2026-03-09,19.034,19.034,19.034,19.034,-0.327,-1.69%,0,0
2026-03-06,19.361,19.361,19.361,19.361,1.508,+8.45%,0,0
2026-03-05,17.853,17.853,17.853,17.853,-1.253,-6.56%,0,0
2026-03-04,19.106,19.106,19.106,19.106,-0.376,-1.93%,0,0
2026-03-03,19.482,19.482,19.482,19.482,-4.028,-17.13%,0,0
2026-03-02,23.51,23.51,23.51,23.51,-3.941,-14.36%,0,0
2026-02-27,27.451,27.451,27.451,27.451,4.795,+21.16%,0,0
2026-02-26,22.656,22.656,22.656,22.656,-3.52,-13.45%,0,0
2026-02-25,26.176,26.176,26.176,26.176,1.872,+7.70%,0,0
2026-02-24,24.304,24.304,24.304,24.304,0.404,+1.69%,0,0
2026-02-23,23.9,23.9,23.9,23.9,4.762,+24.88%,0,0
2026-02-20,19.138,19.138,19.138,19.138,4.549,+31.18%,0,0
2026-02-19,14.589,14.589,14.589,14.589,0.339,+2.38%,0,1
2026-02-18,14.25,14.25,14.25,14.25,2.671,+23.07%,0,1
2026-02-17,12.18,12.18,11.579,11.579,-2.439,-17.40%,1,1
2026-02-13,15.4,15.4,14.018,14.018,0.547,+4.06%,1,1
2026-02-12,13.471,13.471,13.471,13.471,-6.298,-31.86%,0,0
2026-02-11,19.769,19.769,19.769,19.769,2.468,+14.27%,0,0
2026-02-10,17.1,17.301,17.1,17.301,-2.321,-11.83%,1,0
2026-02-09,19.622,19.622,19.622,19.622,3.695,+23.20%,0,1
2026-02-06,15,15.927,15,15.927,1.739,+12.26%,1,1
2026-02-05,14.188,14.188,14.188,14.188,-6.513,-31.46%,0,0
2026-02-04,20.701,20.701,20.701,20.701,0.833,+4.19%,0,0
2026-02-03,19.868,19.868,19.868,19.868,5.166,+35.14%,0,0
2026-02-02,14.702,14.702,14.702,14.702,-4.149,-22.01%,0,0
2026-01-30,18.851,18.851,18.851,18.851,-28.091,-59.84%,0,0
2026-01-29,46.942,46.942,46.942,46.942,1.561,+3.44%,0,0
2026-01-28,45.381,45.381,45.381,45.381,7.546,+19.94%,0,0
2026-01-27,37.835,37.835,37.835,37.835,-14.236,-27.34%,0,0
2026-01-26,52.071,52.071,52.071,52.071,19.157,+58.20%,0,0
2026-01-23,32.914,32.914,32.914,32.914,4.365,+15.29%,0,0
2026-01-22,28.549,28.549,28.549,28.549,2.628,+10.14%,0,0
2026-01-21,25.921,25.921,25.921,25.921,-1.586,-5.77%,0,0
2026-01-20,27.507,27.507,27.507,27.507,4.743,+20.84%,0,0
2026-01-16,22.764,22.764,22.764,22.764,-3.008,-11.67%,0,0
2026-01-15,25.772,25.772,25.772,25.772,0.884,+3.55%,0,0
2026-01-14,24.888,24.888,24.888,24.888,4.89,+24.45%,0,0
2026-01-13,19.998,19.998,19.998,19.998,0.905,+4.74%,0,0
2026-01-12,19.093,19.093,19.093,19.093,3.896,+25.64%,0,0
2026-01-09,15.197,15.197,15.197,15.197,3.388,+28.69%,0,0
2026-01-08,11.809,11.809,11.809,11.809,-1.573,-11.75%,0,0
2026-01-07,13.382,13.382,13.382,13.382,-3.503,-20.75%,0,0
2026-01-06,16.885,16.885,16.885,16.885,4.592,+37.35%,0,0
2026-01-05,12.293,12.293,12.293,12.293,2.387,+24.10%,0,0
2026-01-02,9.906,9.906,9.906,9.906,0.196,+2.02%,0,0
2025-12-31,9.71,9.71,9.71,9.71,-5.136,-34.60%,0,0
2025-12-30,14.846,14.846,14.846,14.846,4.468,+43.05%,0,0
2025-12-29,10.378,10.378,10.378,10.378,-3.987,-27.75%,0,0
2025-12-26,14.365,14.365,14.365,14.365,4.343,+43.33%,0,0
2025-12-24,10.022,10.022,10.022,10.022,0.623,+6.63%,0,0
2025-12-23,9.399,9.399,9.399,9.399,1.68,+21.76%,0,0
2025-12-22,7.719,7.719,7.719,7.719,0.559,+7.81%,0,0
2025-12-19,7.16,7.16,7.16,7.16,1.221,+20.56%,0,0
2025-12-18,5.939,5.939,5.939,5.939,-0.988,-14.26%,0,0
2025-12-17,6.927,6.927,6.927,6.927,1.891,+37.55%,0,0
2025-12-16,5.036,5.036,5.036,5.036,-0.358,-6.64%,0,0
2025-12-15,5.394,5.394,5.394,5.394,0.689,+14.64%,0,0
"Downloaded from Barchart.com as of 06-30-2026 10:50pm CDT"
