underlying,n_dates,ar1_coeff,ar1_se,half_life_days,adf_stat,adf_pval,adf_lags_used,adf_crit_1pct,adf_crit_5pct,adf_crit_10pct,stationary_5pct
GC,125,0.7681471545102536,0.050366174311104545,2.627807495064571,-2.28828670380513,0.17577357636444885,4,-3.486055829282407,-2.8859430324074076,-2.5797850694444446,False
SI,125,0.46648198539784846,0.08167347377886881,0.9090027137353908,-4.516089668178541,0.0001838872711811683,1,-3.4846672514209773,-2.8853397507076006,-2.5794629869786503,True
