Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-08,0.52,0.629,0.48,0.629,-0.028,-4.26%,153,1089
2026-06-05,1,1.055,0.606,0.657,-0.557,-45.88%,251,1181
2026-06-04,1.219,1.391,1.211,1.214,-0.053,-4.18%,128,1150
2026-06-03,1.312,1.313,1.14,1.267,-0.485,-27.68%,244,1270
2026-06-02,1.72,1.863,1.7,1.752,0.026,+1.51%,135,1060
2026-06-01,1.897,1.897,1.726,1.726,-0.291,-14.43%,1,933
2026-05-29,2.026,2.05,2.017,2.017,-0.09,-4.27%,3,932
2026-05-28,1.72,2.107,1.547,2.107,0.158,+8.11%,279,934
2026-05-27,2.77,2.77,1.935,1.949,-0.586,-23.12%,484,906
2026-05-26,3.048,3.048,2.504,2.535,-0.097,-3.69%,25,580
2026-05-22,2.632,2.632,2.632,2.632,-0.398,-13.14%,15,578
2026-05-21,3.077,3.077,3.03,3.03,0.212,+7.52%,32,563
2026-05-20,2.9,2.9,2.818,2.818,0.013,+0.46%,74,533
2026-05-19,2.805,2.805,2.805,2.805,-0.846,-23.17%,59,459
2026-05-18,3.651,3.651,3.651,3.651,-0.083,-2.22%,118,400
2026-05-15,3.734,3.734,3.734,3.734,-3.183,-46.02%,57,308
2026-05-14,6.917,6.917,6.917,6.917,-2.848,-29.17%,0,255
2026-05-13,9.765,9.765,9.765,9.765,2.379,+32.21%,233,255
2026-05-12,7.386,7.386,7.386,7.386,-0.564,-7.09%,9,228
2026-05-11,7.95,7.95,7.95,7.95,2.927,+58.27%,205,224
2026-05-08,5.024,5.024,5.023,5.023,0.176,+3.63%,1,19
2026-05-07,4.847,4.847,4.847,4.847,1.299,+36.61%,4,19
2026-05-06,3.548,3.548,3.548,3.548,1.051,+42.09%,3,18
2026-05-05,2.497,2.497,2.497,2.497,-0.048,-1.89%,0,18
2026-05-04,2.545,2.545,2.545,2.545,-0.678,-21.04%,0,18
2026-05-01,3.223,3.223,3.223,3.223,0.766,+31.18%,0,18
2026-04-30,2.457,2.457,2.457,2.457,0.397,+19.27%,5,18
2026-04-29,2.41,2.41,2.06,2.06,-0.365,-15.05%,5,18
2026-04-28,2.425,2.425,2.425,2.425,-0.774,-24.20%,2,22
2026-04-27,3.199,3.199,3.199,3.199,-0.651,-16.91%,0,22
2026-04-24,3.85,3.85,3.85,3.85,-0.128,-3.22%,2,22
2026-04-23,3.978,3.978,3.978,3.978,-0.64,-13.86%,0,20
2026-04-22,4.618,4.618,4.618,4.618,0.247,+5.65%,0,20
2026-04-21,4.371,4.371,4.371,4.371,-1.497,-25.51%,0,20
2026-04-20,5.868,5.868,5.868,5.868,-0.903,-13.34%,0,20
2026-04-17,6.771,6.771,6.771,6.771,1.281,+23.33%,0,20
2026-04-16,5.49,5.49,5.49,5.49,-0.682,-11.05%,0,20
2026-04-15,6.172,6.172,6.172,6.172,0.011,+0.18%,0,20
2026-04-14,6.161,6.161,6.161,6.161,1.485,+31.76%,0,20
2026-04-13,4.676,4.676,4.676,4.676,-0.585,-11.12%,0,20
2026-04-10,5.261,5.261,5.261,5.261,-0.093,-1.74%,0,20
2026-04-09,5.354,5.354,5.354,5.354,-0.291,-5.16%,0,20
2026-04-08,5.645,5.645,5.645,5.645,0.823,+17.07%,0,20
2026-04-07,4.822,4.822,4.822,4.822,-0.124,-2.51%,0,20
2026-04-06,4.911,4.946,4.911,4.946,-0.595,-10.74%,0,20
2026-04-02,5.541,5.541,5.541,5.541,-0.939,-14.49%,0,20
2026-04-01,6.48,6.48,6.48,6.48,-0.199,-2.98%,0,20
2026-03-31,6.679,6.679,6.679,6.679,1.242,+22.84%,0,20
2026-03-30,5.437,5.437,5.437,5.437,0.137,+2.58%,0,20
2026-03-27,5.3,5.3,5.3,5.3,0.878,+19.86%,0,20
2026-03-26,4.9,4.9,4.422,4.422,-1.259,-22.16%,5,20
2026-03-25,5.681,5.681,5.681,5.681,0.871,+18.11%,0,25
2026-03-24,4.5,4.81,4,4.81,0.059,+1.24%,7,25
2026-03-23,4.751,4.751,4.751,4.751,0.359,+8.17%,6,19
2026-03-20,4.392,4.392,4.392,4.392,-0.545,-11.04%,0,14
2026-03-19,4.937,4.937,4.937,4.937,-1.912,-27.92%,0,14
2026-03-18,6.849,6.849,6.849,6.849,-1.389,-16.86%,0,14
2026-03-17,8.238,8.238,8.238,8.238,-0.919,-10.04%,0,14
2026-03-16,9.157,9.157,9.157,9.157,-0.576,-5.92%,0,14
2026-03-13,9.733,9.733,9.733,9.733,-2.349,-19.44%,0,14
2026-03-12,12.082,12.082,12.082,12.082,-0.223,-1.81%,0,14
2026-03-11,12.305,12.305,12.305,12.305,-3.171,-20.49%,0,14
2026-03-10,15.476,15.476,15.476,15.476,3.42,+28.37%,0,14
2026-03-09,12.056,12.056,12.056,12.056,-0.316,-2.55%,0,14
2026-03-06,12.372,12.372,12.372,12.372,1.099,+9.75%,0,14
2026-03-05,11.273,11.273,11.273,11.273,-1.127,-9.09%,0,14
2026-03-04,12.4,12.4,12.4,12.4,-0.319,-2.51%,0,14
2026-03-03,12.719,12.719,12.719,12.719,-3.366,-20.93%,0,14
2026-03-02,16.085,16.085,16.085,16.085,-3.588,-18.24%,0,14
2026-02-27,19.673,19.673,19.673,19.673,4.365,+28.51%,0,14
2026-02-26,15.308,15.308,15.308,15.308,-3.249,-17.51%,0,14
2026-02-25,18.557,18.557,18.557,18.557,1.112,+6.37%,0,14
2026-02-24,17.445,17.445,17.445,17.445,0.206,+1.19%,0,14
2026-02-23,17.239,17.239,17.239,17.239,4.393,+34.20%,0,14
2026-02-20,12.846,12.846,12.846,12.846,3.766,+41.48%,0,14
2026-02-19,9.08,9.08,9.08,9.08,0.271,+3.08%,0,14
2026-02-18,8.809,8.809,8.809,8.809,2.101,+31.32%,0,14
2026-02-17,6.708,6.708,6.708,6.708,-1.615,-19.40%,0,14
2026-02-13,8.323,8.323,8.323,8.323,-0.036,-0.43%,0,14
2026-02-12,8.359,8.359,8.359,8.359,-5.102,-37.90%,0,14
2026-02-11,13.461,13.461,13.461,13.461,2.005,+17.50%,0,14
2026-02-10,11.456,11.456,11.456,11.456,-1.945,-14.51%,0,14
2026-02-09,13.401,13.401,13.401,13.401,2.745,+25.76%,0,14
2026-02-06,10.656,10.656,10.656,10.656,1.517,+16.60%,0,14
2026-02-05,9.139,9.139,9.139,9.139,-5.103,-35.83%,0,14
2026-02-04,14.242,14.242,14.242,14.242,0.166,+1.18%,0,14
2026-02-03,14.076,14.076,14.076,14.076,4.644,+49.24%,0,14
2026-02-02,9.438,9.438,9.432,9.432,-3.334,-26.12%,0,14
2026-01-30,13,13,12.766,12.766,-24.002,-65.28%,1,14
2026-01-29,36.768,36.768,36.768,36.768,1.587,+4.51%,0,13
2026-01-28,35.181,35.181,35.181,35.181,6.934,+24.55%,0,13
