Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-09,55.7,55.7,54.5,54.5,-2.9,-5.05%,285,0
2026-06-08,60.5,60.5,57.4,57.4,-0.9,-1.54%,809,1057
2026-06-05,71,71,56.2,58.3,-41.6,-41.64%,665,866
2026-06-04,103.8,116.8,99.6,99.9,10.1,+11.25%,246,576
2026-06-03,107,107,88.9,89.8,-22.5,-20.04%,141,538
2026-06-02,123,133,112.3,112.3,-1.1,-0.97%,127,631
2026-06-01,131,132.5,107.8,113.4,-41.8,-26.93%,50,609
2026-05-29,130,175,130,155.2,28.9,+22.88%,217,602
2026-05-28,84,126.3,78,126.3,24.1,+23.58%,103,462
2026-05-27,123,124.5,98.2,102.2,-25.4,-19.91%,122,448
2026-05-26,156.6,164.6,120.1,127.6,-15.,-10.52%,21,387
2026-05-22,149.4,150,132,142.6,-16.4,-10.31%,103,387
2026-05-21,163.2,166.2,140,159,-0.4,-0.25%,23,359
2026-05-20,140,168.5,137.7,159.4,4.5,+2.91%,42,356
2026-05-19,192.8,192.8,150,154.9,-24.5,-13.66%,78,337
2026-05-18,165,192,157.6,179.4,-5.8,-3.13%,84,329
2026-05-15,215,215,170,185.2,-70.5,-27.57%,68,289
2026-05-14,255.7,255.7,255.7,255.7,-19.5,-7.09%,0,281
2026-05-13,275.2,275.2,275.2,275.2,8.8,+3.30%,0,281
2026-05-12,265,286,265,266.4,-28.2,-9.57%,2,281
2026-05-11,290.5,294.6,290.5,294.6,-3.5,-1.17%,1,281
2026-05-08,300,300,298.1,298.1,11.5,+4.01%,5,280
2026-05-07,285,290,285,286.6,14.8,+5.45%,45,280
2026-05-06,290,290,271.8,271.8,70.6,+35.09%,14,300
2026-05-05,202,202.1,199.4,201.2,13.6,+7.25%,22,305
2026-05-04,200,209.4,187,187.6,-60.4,-24.35%,47,284
2026-05-01,248,248,248,248,9.1,+3.81%,0,267
2026-04-30,200,238.9,200,238.9,37.1,+18.38%,10,267
2026-04-29,203.1,203.1,191,201.8,-21.8,-9.75%,227,259
2026-04-28,213,223.6,213,223.6,-53.8,-19.39%,1,100
2026-04-27,277.4,277.4,277.4,277.4,-39.1,-12.35%,0,100
2026-04-24,316.5,316.5,316.5,316.5,3.8,+1.22%,0,100
2026-04-23,312.7,312.7,312.7,312.7,-19.6,-5.90%,0,100
2026-04-22,332.3,332.3,332.3,332.3,9.5,+2.94%,0,100
2026-04-21,322.8,322.8,322.8,322.8,-70.7,-17.97%,0,100
2026-04-20,393.5,393.5,393.5,393.5,-40.5,-9.33%,0,100
2026-04-17,434,434,434,434,48.5,+12.58%,0,100
2026-04-16,385.5,385.5,385.5,385.5,-20.1,-4.96%,0,100
2026-04-15,405.6,405.6,405.6,405.6,-21.8,-5.10%,0,100
2026-04-14,427.4,427.4,427.4,427.4,53.1,+14.19%,0,100
2026-04-13,374.3,374.3,374.3,374.3,-16.6,-4.25%,0,100
2026-04-10,390.9,390.9,390.9,390.9,-30.7,-7.28%,0,100
2026-04-09,421.6,421.6,421.6,421.6,10.5,+2.55%,0,100
2026-04-08,411.1,411.1,411.1,411.1,43.7,+11.89%,0,100
2026-04-07,367.4,367.4,367.4,367.4,-6.5,-1.74%,4,100
2026-04-06,373.9,373.9,373.9,373.9,-5.9,-1.55%,0,101
2026-04-02,379.8,379.8,379.8,379.8,-73.9,-16.29%,0,101
2026-04-01,453.7,453.7,453.7,453.7,75.3,+19.90%,0,101
2026-03-31,378.4,378.4,378.4,378.4,52.5,+16.11%,0,101
2026-03-30,325.9,325.9,325.9,325.9,13,+4.15%,0,101
2026-03-27,312.9,312.9,312.9,312.9,56,+21.80%,10,101
2026-03-26,256.9,256.9,256.9,256.9,-69.6,-21.32%,1,92
2026-03-25,330.6,330.6,325.2,326.5,66.9,+25.77%,4,91
2026-03-24,265.9,278.4,259.6,259.6,6.8,+2.69%,6,95
2026-03-23,252.8,252.8,252.8,252.8,-47.9,-15.93%,2,92
2026-03-20,362,377.1,300.7,300.7,-16.9,-5.32%,9,90
2026-03-19,317.6,317.6,317.6,317.6,-181.4,-36.35%,0,91
2026-03-18,499,499,499,499,-84.5,-14.48%,0,91
2026-03-17,583.5,583.5,583.5,583.5,-8.2,-1.39%,0,91
2026-03-16,591.7,591.7,591.7,591.7,-57.9,-8.91%,0,91
2026-03-13,649.6,649.6,649.6,649.6,-42.7,-6.17%,0,91
2026-03-12,692.3,692.3,692.3,692.3,-52.,-6.99%,0,91
2026-03-11,744.3,744.3,744.3,744.3,-55.5,-6.94%,0,91
2026-03-10,799.8,799.8,799.8,799.8,109.9,+15.93%,0,91
2026-03-09,689.9,689.9,689.9,689.9,-50.,-6.76%,0,91
2026-03-06,739.9,739.9,739.9,739.9,61.2,+9.02%,0,91
2026-03-05,678.7,678.7,678.7,678.7,-47.,-6.48%,0,91
2026-03-04,725.7,725.7,725.7,725.7,7.3,+1.02%,0,91
2026-03-03,718.4,718.4,718.4,718.4,-147.4,-17.02%,0,91
2026-03-02,865.8,865.8,865.8,865.8,54,+6.65%,0,91
2026-02-27,811.8,811.8,811.8,811.8,45.1,+5.88%,0,91
2026-02-26,766.7,766.7,766.7,766.7,-37.7,-4.69%,0,91
2026-02-25,804.4,804.4,804.4,804.4,42,+5.51%,0,91
2026-02-24,762.4,762.4,762.4,762.4,-44.6,-5.53%,0,91
2026-02-23,807,807,807,807,126.1,+18.52%,0,91
2026-02-20,680.9,680.9,680.9,680.9,77.7,+12.88%,0,91
2026-02-19,603.2,603.2,603.2,603.2,-9.9,-1.61%,0,91
2026-02-18,613.1,613.1,613.1,613.1,92.7,+17.81%,0,91
2026-02-17,520.4,520.4,520.4,520.4,-114.1,-17.98%,0,91
2026-02-13,634.5,634.5,634.5,634.5,68.7,+12.14%,0,91
2026-02-12,565.8,565.8,565.8,565.8,-113.1,-16.66%,0,91
2026-02-11,678.9,678.9,678.9,678.9,57.4,+9.24%,0,91
2026-02-10,621.5,621.5,621.5,621.5,-56.,-8.27%,0,91
2026-02-09,633.9,677.5,633.9,677.5,66.8,+10.94%,1,91
2026-02-06,610.7,610.7,610.7,610.7,70.3,+13.01%,0,90
2026-02-05,540.4,540.4,540.4,540.4,-57.6,-9.63%,0,90
2026-02-04,598,598,598,598,-0.4,-0.07%,0,90
2026-02-03,598.4,598.4,598.4,598.4,210,+54.07%,0,90
2026-02-02,388.4,388.4,388.4,388.4,-98.2,-20.18%,0,90
2026-01-30,486.6,486.6,486.6,486.6,-455.5,-48.35%,0,90
2026-01-29,942.1,942.1,942.1,942.1,31.8,+3.49%,0,90
2026-01-28,910.3,910.3,910.3,910.3,208.6,+29.73%,0,90
2026-01-27,701.7,701.7,701.7,701.7,-15.6,-2.17%,0,90
2026-01-26,717.3,717.3,717.3,717.3,104.8,+17.11%,0,90
2026-01-23,612.5,612.5,612.5,612.5,59.3,+10.72%,0,90
2026-01-22,553.2,553.2,553.2,553.2,59.5,+12.05%,0,90
