asset,n_days,mu_log_ann,sigma_ann,ito_correction,mu_arith_ann,sharpe_log_xs,cum_log_ret,ref_strike_K,latest_futures_F,T_to_expiry_years,d2_Q,d2_P,N_d2_Q,N_d2_P,delta_P_risk_premium,observed_mean_delta,fraction_explained
GC (stitched GCM26/GCQ26),127,-0.290283,0.346106,0.059895,-0.230389,-0.9687,-0.146294,5400.0,3990.2,0.09863,-2.83787,-3.046923,0.00227079,0.00115598,-0.0011148,-0.103,-0.010823
SI (SIU26),145,-0.065363,0.84491,0.356937,0.291574,-0.1306,-0.03761,85.0,58.185,0.260274,-1.094831,-0.918774,0.1367954,0.17910692,0.04231151,-0.064,0.661117
