Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-09,11.8,11.8,11.8,11.8,-0.2,-1.67%,1,0
2026-06-08,12.5,12.5,11.2,12,-0.6,-4.76%,568,3277
2026-06-05,20.4,21.1,12.4,12.6,-8.8,-41.12%,825,3506
2026-06-04,21.1,21.4,20.1,21.4,1.8,+9.18%,1042,3836
2026-06-03,25,25,19.6,19.6,-5.7,-22.53%,235,3393
2026-06-02,28,34.5,25.1,25.3,-2.8,-9.96%,413,3247
2026-06-01,35.6,35.6,26.6,28.1,-12.7,-31.13%,473,3096
2026-05-29,35.3,47.9,35.3,40.8,9.5,+30.35%,581,2832
2026-05-28,18.6,31.3,18.6,31.3,8.2,+35.50%,477,2938
2026-05-27,24,27,22.5,23.1,-8.8,-27.59%,342,2704
2026-05-26,41.5,45,30.6,31.9,-5.1,-13.78%,112,2572
2026-05-22,40.7,40.7,36.4,37,-7.4,-16.67%,571,2568
2026-05-21,45.5,46.7,39.9,44.4,-2.,-4.31%,936,2805
2026-05-20,40,50.5,40,46.4,-0.6,-1.28%,814,2516
2026-05-19,60.3,60.3,42.7,47,-10.2,-17.83%,134,2037
2026-05-18,51.5,62.5,51.5,57.2,-2.8,-4.67%,354,2013
2026-05-15,80,80,58.5,60,-32.7,-35.28%,186,1854
2026-05-14,104.1,104.1,84,92.7,-12.8,-12.13%,226,1892
2026-05-13,106.5,106.5,101,105.5,3.8,+3.74%,342,1810
2026-05-12,111.5,112.2,101.7,101.7,-15.2,-13.00%,59,1669
2026-05-11,106.5,116.9,103,116.9,0.1,+0.09%,468,1681
2026-05-08,114.4,116.8,114.2,116.8,3.6,+3.18%,4,1787
2026-05-07,123,128,113.2,113.2,11.1,+10.87%,361,1786
2026-05-06,112,120,99,102.1,31.1,+43.80%,102,1813
2026-05-05,77.5,77.5,71,71,3.6,+5.34%,619,1851
2026-05-04,68.5,68.5,67.4,67.4,-26.8,-28.45%,102,1562
2026-05-01,90,94.2,90,94.2,5.8,+6.56%,237,1631
2026-04-30,75,95,75,88.4,16.6,+23.12%,155,1395
2026-04-29,80.1,81.9,66.6,71.8,-7.7,-9.69%,18,1309
2026-04-28,105,105,75,79.5,-24.5,-23.56%,53,1304
2026-04-27,124.5,124.5,103.3,104,-23.6,-18.50%,16,1279
2026-04-24,119,127.6,119,127.6,-1.2,-0.93%,74,1275
2026-04-23,135,137.5,128.8,128.8,-11.9,-8.46%,336,1337
2026-04-22,142.4,142.4,140.7,140.7,0.4,+0.29%,14,1480
2026-04-21,176,176,131,140.3,-42.1,-23.08%,34,1479
2026-04-20,186,186,181,182.4,-27.2,-12.98%,8,1462
2026-04-17,210,221,209.6,209.6,27.8,+15.29%,58,1455
2026-04-16,206,208,181.8,181.8,-15.9,-8.04%,219,1413
2026-04-15,214,223,197.7,197.7,-16.1,-7.53%,6,1309
2026-04-14,188,213.8,186.6,213.8,34.8,+19.44%,5,1312
2026-04-13,179,179,179,179,-12.7,-6.62%,363,1309
2026-04-10,191.7,191.7,191.7,191.7,-23.4,-10.88%,1,1524
2026-04-09,193.6,215.1,193.6,215.1,1.7,+0.80%,23,1524
2026-04-08,258,258,213.4,213.4,21.7,+11.32%,55,1523
2026-04-07,197.5,214.8,191.7,191.7,-6.8,-3.43%,11,1548
2026-04-06,192,199.6,192,198.5,-7.4,-3.59%,267,1553
2026-04-02,204.2,220,204.2,205.9,-47.2,-18.65%,14,1302
2026-04-01,230,253.1,227.3,253.1,44.9,+21.57%,35,1310
