Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-10,0.284,0.284,0.284,0.284,0.015,+5.58%,0,128
2026-06-09,0.269,0.269,0.269,0.269,-0.081,-23.14%,0,128
2026-06-08,0.35,0.35,0.35,0.35,-0.014,-3.85%,0,128
2026-06-05,0.364,0.364,0.364,0.364,-0.225,-38.20%,0,128
2026-06-04,0.589,0.589,0.589,0.589,-0.044,-6.95%,0,128
2026-06-03,0.633,0.633,0.633,0.633,-0.167,-20.88%,0,128
2026-06-02,0.8,0.8,0.8,0.8,0.005,+0.63%,0,128
2026-06-01,0.795,0.795,0.795,0.795,-0.119,-13.02%,5,128
2026-05-29,0.914,0.914,0.914,0.914,-0.047,-4.89%,0,128
2026-05-28,0.961,0.961,0.961,0.961,0.063,+7.02%,0,128
2026-05-27,0.898,0.898,0.898,0.898,-0.336,-27.23%,0,128
2026-05-26,1.103,1.234,1.103,1.234,-0.009,-0.72%,5,128
2026-05-22,1.243,1.243,1.243,1.243,-0.127,-9.27%,0,128
2026-05-21,1.37,1.37,1.37,1.37,0.032,+2.39%,31,128
2026-05-20,1.338,1.338,1.338,1.338,-0.025,-1.83%,0,128
2026-05-19,1.363,1.363,1.363,1.363,-0.169,-11.03%,31,128
2026-05-18,1.532,1.532,1.532,1.532,-0.377,-19.75%,1,121
2026-05-15,1.909,1.909,1.909,1.909,-1.28,-40.14%,90,121
2026-05-14,3.277,3.277,3.189,3.189,-1.736,-35.25%,13,191
2026-05-13,4.657,4.925,4,4.925,1.347,+37.65%,51,182
2026-05-12,4,4,3.4,3.578,-0.366,-9.28%,4,201
2026-05-11,2.35,4.365,2.35,3.944,1.558,+65.30%,90,201
2026-05-08,2.498,2.75,2.322,2.386,0.087,+3.78%,9,119
2026-05-07,2.7,2.7,2.299,2.299,0.722,+45.78%,5,119
2026-05-06,1.32,1.62,1.32,1.577,0.414,+35.60%,6,119
2026-05-05,1.2,1.2,1.163,1.163,0.058,+5.25%,4,119
2026-05-04,1.105,1.105,1.105,1.105,-0.274,-19.87%,0,119
2026-05-01,1.379,1.379,1.379,1.379,0.414,+42.90%,0,119
2026-04-30,1.06,1.06,0.965,0.965,0.057,+6.28%,5,119
2026-04-29,0.947,0.947,0.908,0.908,-0.137,-13.11%,3,117
2026-04-28,1.045,1.045,1.045,1.045,-0.349,-25.04%,0,117
2026-04-27,1.394,1.394,1.394,1.394,-0.353,-20.21%,0,117
2026-04-24,1.747,1.747,1.747,1.747,-0.173,-9.01%,0,117
2026-04-23,1.92,1.92,1.92,1.92,-0.258,-11.85%,0,117
2026-04-22,2.178,2.178,2.178,2.178,0.007,+0.32%,0,117
2026-04-21,2.171,2.171,2.171,2.171,-0.69,-24.12%,0,117
2026-04-20,2.861,2.861,2.861,2.861,-0.504,-14.98%,0,117
2026-04-17,3.365,3.365,3.365,3.365,0.7,+26.27%,0,117
2026-04-16,2.665,2.665,2.665,2.665,-0.348,-11.55%,0,117
2026-04-15,3.013,3.013,3.013,3.013,-0.055,-1.79%,0,117
2026-04-14,3.068,3.068,3.068,3.068,0.853,+38.51%,70,117
2026-04-13,2.215,2.215,2.215,2.215,-0.364,-14.11%,0,47
2026-04-10,2.579,2.579,2.579,2.579,-0.085,-3.19%,0,47
2026-04-09,2.664,2.664,2.664,2.664,-0.212,-7.37%,0,47
2026-04-08,2.876,2.876,2.876,2.876,0.33,+12.96%,0,47
