Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-08,0.283,0.33,0.283,0.33,-0.029,-8.08%,5,519
2026-06-05,0.34,0.359,0.318,0.359,-0.26,-42.00%,13,516
2026-06-04,0.63,0.705,0.619,0.619,-0.036,-5.50%,7,528
2026-06-03,0.75,0.75,0.655,0.655,-0.269,-29.11%,26,527
2026-06-02,1.05,1.05,0.924,0.924,0.01,+1.09%,7,518
2026-06-01,0.914,0.914,0.914,0.914,-0.17,-15.68%,50,513
2026-05-29,1.13,1.13,1.084,1.084,-0.068,-5.90%,1,523
2026-05-28,0.96,1.152,0.96,1.152,0.058,+5.30%,52,524
2026-05-27,1.2,1.2,1.021,1.094,-0.385,-26.03%,41,534
2026-05-26,1.479,1.479,1.479,1.479,-0.066,-4.27%,138,550
2026-05-22,1.6,1.6,1.545,1.545,-0.245,-13.69%,1,413
2026-05-21,1.79,1.79,1.79,1.79,0.114,+6.80%,20,413
2026-05-20,1.676,1.676,1.676,1.676,-0.062,-3.57%,0,413
2026-05-19,1.738,1.738,1.738,1.738,-0.515,-22.86%,20,413
2026-05-18,2.253,2.253,2.253,2.253,-0.091,-3.88%,20,413
2026-05-15,2.5,2.5,2.344,2.344,-2.115,-47.43%,89,430
2026-05-14,4.459,4.459,4.459,4.459,-2.287,-33.90%,1,360
2026-05-13,7.289,7.289,6.746,6.746,1.852,+37.84%,6,360
2026-05-12,4.894,4.894,4.894,4.894,-0.529,-9.75%,18,359
2026-05-11,5.42,5.423,5.42,5.423,2.188,+67.64%,102,357
2026-05-08,3.3,3.398,3.235,3.235,0.023,+0.72%,22,349
2026-05-07,3.59,3.958,3.019,3.212,0.971,+43.33%,146,338
2026-05-06,2.25,2.33,2.241,2.241,0.665,+42.20%,108,219
2026-05-05,1.65,1.65,1.47,1.576,0,0.00%,11,183
2026-05-04,1.576,1.576,1.576,1.576,-0.369,-18.97%,0,172
2026-05-01,1.945,1.945,1.945,1.945,0.477,+32.49%,14,172
2026-04-30,1.23,1.468,1.23,1.468,0.241,+19.64%,54,164
2026-04-29,1.194,1.227,1.194,1.227,-0.194,-13.65%,30,125
2026-04-28,1.421,1.421,1.421,1.421,-0.521,-26.83%,10,143
2026-04-27,2,2,1.942,1.942,-0.504,-20.61%,1,143
