Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-30,0.9,0.9,0.9,0.9,0,0.00%,37,1122
2026-06-29,0.9,0.9,0.9,0.9,-0.3,-25.00%,2,1100
2026-06-26,1.1,1.2,1.1,1.2,0.1,+9.09%,6,1099
2026-06-25,1,1.1,1,1.1,-0.1,-8.33%,2,1094
2026-06-24,1.2,1.2,1.2,1.2,-0.1,-7.69%,0,1096
2026-06-23,1.5,1.5,1.3,1.3,-0.2,-13.33%,1,1096
2026-06-22,1.5,1.5,1.5,1.5,-0.6,-28.57%,0,1096
2026-06-18,2.1,2.1,2.1,2.1,-0.7,-25.00%,37,1096
2026-06-17,2.8,2.8,2.8,2.8,0.1,+3.70%,15,1097
2026-06-16,2.5,2.7,2.5,2.7,-0.3,-10.00%,2,1097
2026-06-15,3,3,3,3,0.6,+25.00%,39,1097
2026-06-12,2.4,2.4,2.4,2.4,0.5,+26.32%,51,1097
2026-06-11,2.2,2.2,1.9,1.9,-1.,-34.48%,1,1064
2026-06-10,2.9,2.9,2.9,2.9,-0.3,-9.38%,16,1064
2026-06-09,3.2,3.2,3.2,3.2,-0.3,-8.57%,0,1080
2026-06-08,3.5,3.5,3.5,3.5,-0.3,-7.89%,0,1080
2026-06-05,4.8,4.8,3.8,3.8,-1.1,-22.45%,17,1080
2026-06-04,5.2,5.2,4.9,4.9,0.1,+2.08%,2,1076
2026-06-03,5.3,5.3,4.8,4.8,-1.,-17.24%,7,1076
2026-06-02,5.8,5.8,5.8,5.8,-0.8,-12.12%,5,1075
2026-06-01,6.6,6.6,6.6,6.6,-2.,-23.26%,15,1075
2026-05-29,8.8,8.8,8.6,8.6,2,+30.30%,25,1085
2026-05-28,4.9,6.6,4.9,6.6,1.9,+40.43%,3,1092
2026-05-27,5.3,5.3,4.6,4.7,-1.9,-28.79%,13,1091
2026-05-26,6.6,6.6,6.6,6.6,-1.2,-15.38%,4,1093
2026-05-22,7.8,7.8,7.8,7.8,-1.4,-15.22%,0,1089
2026-05-21,10.1,10.1,8.6,9.2,-0.9,-8.91%,115,1089
2026-05-20,10.3,10.3,10.1,10.1,-0.7,-6.48%,1,1200
2026-05-19,12,12,10.8,10.8,-2.1,-16.28%,5,1200
2026-05-18,13,13.3,12.9,12.9,-0.7,-5.15%,2,1200
2026-05-15,14,14,13.6,13.6,-7.1,-34.30%,27,1202
2026-05-14,23.1,23.1,20.7,20.7,-4.2,-16.87%,3,1176
2026-05-13,24.9,24.9,24.9,24.9,0.5,+2.05%,0,1174
2026-05-12,27.1,27.1,24.4,24.4,-4.1,-14.39%,2,1174
2026-05-11,28.5,28.5,28.5,28.5,0.9,+3.26%,45,1172
2026-05-08,27.6,27.6,27.6,27.6,-0.5,-1.78%,0,1131
2026-05-07,35.8,35.8,28.1,28.1,4.1,+17.08%,16,1130
2026-05-06,24,24,24,24,5.6,+30.43%,6,1130
2026-05-05,17.7,18.4,17.7,18.4,0.2,+1.10%,1,1125
2026-05-04,18.2,18.2,18.2,18.2,-5.7,-23.85%,0,1124
2026-05-01,23.9,23.9,23.9,23.9,1.9,+8.64%,0,1124
2026-04-30,22,22,22,22,4,+22.22%,15,1124
2026-04-29,17,18,17,18,-0.7,-3.74%,21,1124
2026-04-28,18.7,18.7,18.7,18.7,-5.4,-22.41%,3,1106
2026-04-27,24.1,24.1,24.1,24.1,-6.7,-21.75%,1,1105
2026-04-24,30.8,30.8,30.8,30.8,-1.4,-4.35%,0,1104
