Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-30,1.4,1.4,1.4,1.4,0.1,+7.69%,59,3207
2026-06-29,1.4,1.4,1.3,1.3,-0.5,-27.78%,14,3205
2026-06-26,1.8,1.8,1.8,1.8,0.1,+5.88%,3,3197
2026-06-25,2,2,1.4,1.7,-0.2,-10.53%,11,3197
2026-06-24,2.1,2.1,1.8,1.9,-0.2,-9.52%,17,3194
2026-06-23,2.1,2.1,2.1,2.1,-0.3,-12.50%,3,3208
2026-06-22,2.6,2.6,2.4,2.4,-1.1,-31.43%,4,3205
2026-06-18,4.5,4.5,3.5,3.5,-2.1,-37.50%,29,3204
2026-06-17,5,5.6,5,5.6,0.4,+7.69%,37,3179
2026-06-16,5.5,5.5,5.2,5.2,-0.8,-13.33%,23,3167
2026-06-15,5.1,6.2,5.1,6,1.7,+39.53%,101,3166
2026-06-12,4.7,4.7,4.3,4.3,0.9,+26.47%,121,3186
2026-06-11,4.2,4.2,3.4,3.4,-1.2,-26.09%,87,3141
2026-06-10,5.8,5.8,4.2,4.6,-0.9,-16.36%,635,3141
2026-06-09,5.5,5.5,5.5,5.5,-1.3,-19.12%,1092,3266
2026-06-08,7.1,7.2,6.8,6.8,-0.5,-6.85%,125,3796
2026-06-05,9.7,9.7,7.3,7.3,-4.,-35.40%,404,3844
2026-06-04,13.1,13.3,11.3,11.3,0.8,+7.62%,594,3851
2026-06-03,11.4,11.4,10.3,10.5,-2.8,-21.05%,1576,3796
2026-06-02,17.4,17.4,13.3,13.3,-2.2,-14.19%,164,4332
2026-06-01,15.2,15.5,15.1,15.5,-6.1,-28.24%,487,4244
2026-05-29,16.5,22.6,16.5,21.6,5.2,+31.71%,459,3846
2026-05-28,10.3,17.5,10.3,16.4,4.4,+36.67%,237,3651
2026-05-27,14.4,14.4,11.9,12,-4.9,-28.99%,371,3449
2026-05-26,22,23,16.9,16.9,-2.8,-14.21%,392,3565
2026-05-22,19.1,19.7,19.1,19.7,-4.2,-17.57%,6,3296
2026-05-21,21.4,23.9,21.4,23.9,-1.7,-6.64%,29,3290
2026-05-20,27.2,27.2,25.6,25.6,-1.1,-4.12%,111,3296
2026-05-19,30.6,30.6,24.5,26.7,-5.6,-17.34%,78,3297
2026-05-18,32.2,36.5,31.4,32.3,-1.9,-5.56%,119,3240
2026-05-15,45,45,34.2,34.2,-20.2,-37.13%,576,3282
2026-05-14,54.4,54.4,54.4,54.4,-9.1,-14.33%,14,3372
2026-05-13,65,65.8,57.9,63.5,2,+3.25%,353,3375
2026-05-12,65.4,69,61.5,61.5,-10.1,-14.11%,44,3285
2026-05-11,74.6,78.4,71.6,71.6,0.8,+1.13%,259,3264
2026-05-08,74.1,74.1,69.4,70.8,1.5,+2.16%,4,3200
2026-05-07,65.9,75,65.9,69.3,8.5,+13.98%,449,3198
