underlying,regime,median_iv,n,mean_delta,std_delta,t_stat,p_value,ci_lo_95,ci_hi_95,reject_H0
GC,low-IV,0.29241722712376533,561,-0.12459786781092906,0.12818295935637417,-23.022991184950286,4.8994418051166316e-83,-0.13522794954295034,-0.1139677860789078,True
GC,high-IV,0.29241722712376533,560,-0.08066668832322481,0.0880114327399679,-21.689480518678455,3.780449613534706e-76,-0.08797192852741446,-0.07336144811903515,True
SI,low-IV,0.5490022533166667,598,-0.06328475527490643,0.0928863395692491,-16.660876620595758,1.827638318776786e-51,-0.07074461573533788,-0.05582489481447498,True
SI,high-IV,0.5490022533166667,598,-0.06550616120932583,0.08965693831488752,-17.866884813394392,1.6292830258266955e-57,-0.07270666294338267,-0.05830565947526899,True
