Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-07-01,3.681,3.681,3.49,3.49,-0.747,-17.63%,3,0
2026-06-30,3,4.42,3,4.237,0.639,+17.76%,25,70
2026-06-29,3.768,3.793,3.598,3.598,-0.75,-17.25%,2,74
2026-06-26,3.4,4.5,3,4.348,0.412,+10.47%,32,75
2026-06-25,3.54,3.936,3.5,3.936,0.179,+4.76%,70,64
2026-06-24,4.8,4.8,3.45,3.757,-2.064,-35.46%,7,11
2026-06-23,5.821,5.821,5.821,5.821,-2.367,-28.91%,4,11
2026-06-22,8.188,8.188,8.188,8.188,-0.673,-7.60%,0,7
2026-06-18,8.861,8.861,8.861,8.861,-3.65,-29.17%,0,7
2026-06-17,12.511,12.511,12.511,12.511,0.708,+6.00%,0,7
2026-06-16,11.803,11.803,11.803,11.803,-0.141,-1.18%,0,7
2026-06-15,11.944,11.944,11.944,11.944,1.397,+13.25%,0,7
2026-06-12,10.547,10.547,10.547,10.547,2.737,+35.04%,0,7
2026-06-11,7.81,7.81,7.81,7.81,-0.48,-5.79%,0,7
2026-06-10,8.29,8.29,8.29,8.29,-0.268,-3.13%,0,7
2026-06-09,8.558,8.558,8.558,8.558,-2.314,-21.28%,0,7
2026-06-08,10.872,10.872,10.872,10.872,-0.399,-3.54%,0,7
2026-06-05,11.271,11.271,11.271,11.271,-4.117,-26.75%,0,7
2026-06-04,15.388,15.388,15.388,15.388,0.126,+0.83%,0,7
2026-06-03,15.262,15.262,15.262,15.262,-1.707,-10.06%,0,7
2026-06-02,16.969,16.969,16.969,16.969,0.191,+1.14%,0,7
2026-06-01,16.778,16.778,16.778,16.778,-0.604,-3.47%,0,7
2026-05-29,17.382,17.382,17.382,17.382,-0.064,-0.37%,0,7
2026-05-28,17.446,17.446,17.446,17.446,0.884,+5.34%,0,7
2026-05-27,16.562,16.562,16.562,16.562,-1.712,-9.37%,0,7
2026-05-26,18.139,18.274,18.139,18.274,0.345,+1.92%,0,7
2026-05-22,17.929,17.929,17.929,17.929,-0.54,-2.92%,0,7
2026-05-21,18.469,18.469,18.469,18.469,0.381,+2.11%,0,7
2026-05-20,18.088,18.088,18.088,18.088,0.741,+4.27%,0,7
2026-05-19,17.347,17.347,17.347,17.347,-2.243,-11.45%,0,7
2026-05-18,19.59,19.59,19.59,19.59,-0.119,-0.60%,0,7
2026-05-15,19.709,19.709,19.709,19.709,-7.128,-26.56%,0,7
2026-05-14,26.837,26.837,26.837,26.837,-4.089,-13.22%,0,7
2026-05-13,30.926,30.926,30.926,30.926,3.772,+13.89%,0,7
2026-05-12,27.154,27.154,27.154,27.154,-0.427,-1.55%,0,7
2026-05-11,27.581,27.581,27.581,27.581,5.048,+22.40%,0,7
2026-05-08,22.533,22.533,22.533,22.533,0.592,+2.70%,0,7
2026-05-07,21.941,21.941,21.941,21.941,2.719,+14.15%,0,7
2026-05-06,19.222,19.222,19.222,19.222,3.206,+20.02%,0,7
2026-05-05,16.016,16.016,16.016,16.016,0.167,+1.05%,0,7
2026-05-04,15.849,15.849,15.849,15.849,-2.465,-13.46%,0,7
2026-05-01,18.314,18.314,18.314,18.314,1.863,+11.32%,0,7
2026-04-30,16.451,16.451,16.451,16.451,1.788,+12.19%,0,7
2026-04-29,14.663,14.663,14.663,14.663,-1.463,-9.07%,0,7
