group,n,intercept,coef_T,se_T,t_stat,p_value,r_squared
SI,1345,-0.016817931971203307,-0.1442356633745915,0.017000632117446013,-8.48413531792016,5.660584268667013e-17,0.05087034728945196
GC,1326,0.013875777853472604,-0.40437243029920755,0.016636093417834032,-24.30693433505951,3.277918663854575e-108,0.3085537436293931
Pooled,2671,-0.0002664997243576883,-0.2800258844493874,0.012356424714418087,-22.66237127011662,3.859812260013698e-104,0.16137302940183568
