Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-06-10,0.56,0.56,0.56,0.56,0.013,+2.38%,1,0
2026-06-09,0.728,0.728,0.547,0.547,-0.182,-24.97%,117,374
2026-06-08,0.729,0.729,0.729,0.729,-0.074,-9.22%,0,404
2026-06-05,0.8,0.803,0.7,0.803,-0.492,-37.99%,31,404
2026-06-04,1.33,1.33,1.295,1.295,-0.101,-7.23%,3,428
2026-06-03,1.3,1.396,1.3,1.396,-0.343,-19.72%,1,425
2026-06-02,1.739,1.739,1.739,1.739,0.024,+1.40%,0,424
2026-06-01,1.65,1.715,1.65,1.715,-0.249,-12.68%,5,424
2026-05-29,1.95,1.964,1.95,1.964,-0.086,-4.20%,3,424
2026-05-28,1.75,2.05,1.5,2.05,0.148,+7.78%,86,424
2026-05-27,2,2,1.902,1.902,-0.567,-22.96%,2,434
2026-05-26,2.457,2.469,2.333,2.469,-0.056,-2.22%,42,433
2026-05-22,2.77,2.77,2.5,2.525,-0.242,-8.75%,103,411
2026-05-21,2.4,2.781,2.4,2.767,0.036,+1.32%,45,361
2026-05-20,2.731,2.731,2.731,2.731,0.097,+3.68%,0,361
2026-05-19,3.101,3.101,2.3,2.634,-0.447,-14.51%,74,361
2026-05-18,3.5,3.535,3.081,3.081,-0.532,-14.72%,170,374
2026-05-15,3.55,3.613,3.5,3.613,-2.363,-39.54%,117,388
2026-05-14,7.5,7.5,5.42,5.976,-2.399,-28.64%,5,491
2026-05-13,7.9,8.375,7.4,8.375,2.142,+34.37%,55,486
2026-05-12,6.233,6.233,6.233,6.233,-0.534,-7.89%,5,521
2026-05-11,4.499,6.767,4.499,6.767,2.405,+55.14%,107,518
2026-05-08,4.5,4.5,4.362,4.362,0.169,+4.03%,2,437
2026-05-07,3.3,4.975,3.3,4.193,1.123,+36.58%,16,436
2026-05-06,2.965,3.07,2.965,3.07,0.765,+33.19%,178,435
2026-05-05,2.305,2.305,2.305,2.305,0.001,+0.04%,0,304
2026-05-04,2.304,2.304,2.304,2.304,-0.486,-17.42%,0,304
2026-05-01,2.79,2.79,2.79,2.79,0.712,+34.26%,4,304
2026-04-30,2.078,2.078,2.078,2.078,0.237,+12.87%,3,304
2026-04-29,1.841,1.841,1.841,1.841,-0.293,-13.73%,6,301
2026-04-28,2.5,2.5,2.134,2.134,-0.59,-21.66%,8,297
2026-04-27,2.724,2.724,2.724,2.724,-0.521,-16.06%,0,290
2026-04-24,3.245,3.245,3.245,3.245,-0.211,-6.11%,0,290
2026-04-23,3.456,3.456,3.456,3.456,-0.472,-12.02%,0,290
2026-04-22,4.1,4.1,3.928,3.928,0.108,+2.83%,3,290
2026-04-21,4,4,3.8,3.82,-1.153,-23.19%,3,288
2026-04-20,4.973,4.973,4.973,4.973,-0.613,-10.97%,12,287
2026-04-17,5.586,5.586,5.586,5.586,0.962,+20.80%,2,285
2026-04-16,4.624,4.624,4.624,4.624,-0.369,-7.39%,2,283
2026-04-15,5.3,5.3,4.993,4.993,-0.208,-4.00%,102,281
2026-04-14,5.201,5.201,5.201,5.201,1.321,+34.05%,48,184
2026-04-13,3.88,3.88,3.88,3.88,-0.618,-13.74%,0,182
2026-04-10,4.498,4.498,4.498,4.498,-0.067,-1.47%,0,182
2026-04-09,4.565,4.565,4.565,4.565,-0.331,-6.76%,0,182
2026-04-08,4.896,4.896,4.896,4.896,0.635,+14.90%,0,182
2026-04-07,4.261,4.261,4.261,4.261,-0.082,-1.89%,5,182
2026-04-06,4.343,4.343,4.343,4.343,-0.559,-11.40%,8,177
2026-04-02,4.902,4.902,4.902,4.902,-0.791,-13.89%,24,173
2026-04-01,5.5,5.693,5.5,5.693,0.094,+1.68%,32,149
2026-03-31,4.5,6,4.5,5.599,0.709,+14.50%,2,130
2026-03-30,4.89,4.89,4.89,4.89,0.125,+2.62%,0,128
2026-03-27,5.05,5.05,4.765,4.765,0.746,+18.56%,8,128
2026-03-26,4.019,4.019,4.019,4.019,-1.015,-20.16%,0,120
2026-03-25,4.922,5.034,4.908,5.034,0.714,+16.53%,15,120
2026-03-24,4.32,4.32,4.32,4.32,0.087,+2.06%,0,105
2026-03-23,4.5,4.5,4.233,4.233,0.337,+8.65%,1,105
2026-03-20,3.896,3.896,3.896,3.896,-0.487,-11.11%,0,104
2026-03-19,4.383,4.383,4.383,4.383,-1.593,-26.66%,15,104
2026-03-18,6,6,5.976,5.976,-1.158,-16.23%,7,104
2026-03-17,7.134,7.134,7.134,7.134,-0.644,-8.28%,26,104
2026-03-16,8.1,8.1,7.68,7.778,-0.465,-5.64%,6,79
